hour,surge_multiplier,estimated_time_to_arrival,actual_time_to_arrival
0,1.0829011913104418,2.7228335724533723,2.169554043839764
1,1.0705294705294706,2.9141152263374432,2.276707452725245
2,1.4693215339233054,3.6564048338368567,2.8850850340136023
3,1.3791139240506325,3.838552631578948,3.23213438735178
4,1.3782945736434105,3.86976377952756,3.15566037735849
5,1.1810055865921782,3.463932584269665,2.816385542168674
6,1.1077134986225887,2.998235294117649,2.49902077151335
7,1.0745263157894744,2.6985942492012787,2.1306306306306273
8,1.2634376845835809,3.2725327771156114,2.7217540453074514
9,1.1442172897196279,3.0486028537455403,2.4860941475827043
10,1.0830575777630718,2.6902732240437173,2.135944206008584
11,1.080204962243798,2.8868301026225733,2.3698927933293708
12,1.1195881466599704,3.2373732470334438,2.5240697674418686
13,1.1306795131845853,3.0980808625336977,2.5431633237822453
14,1.174251805985554,3.2797643277985973,2.7107872219053157
15,1.2940573770491821,3.4488328075709784,2.849500000000008
16,1.3100137804317884,3.763526912181305,3.1561320754717057
17,1.3048109965635761,3.9012332015810274,3.25007076514818
18,1.1032764961551307,3.228084507042256,2.4725409523809705
19,1.0228515624999988,2.9974939172749346,2.339131238447333
20,1.1143857192859652,3.0469703787026634,2.4478233187425587
21,1.0792951541850224,2.8816006156213994,2.230399348003267
22,1.164863748967797,2.8090994451557867,2.2237636363636426
23,1.2047411444141696,2.9567436619718297,2.3715920096852305
