hour,requests,trips,supply_hours,mean_surge_multipler,month,day
0,2828,2272,1081.1999999999998,29.56000000000001,118,450
1,1855,1442,701.5000000000001,29.340000000000003,118,450
2,1375,1017,523.4000000000001,32.91,118,450
3,675,498,301.2,31.48,118,450
4,297,232,142.70000000000002,32.99,118,450
5,468,386,224.80000000000004,31.75,118,450
6,1001,851,444.1,31.559999999999995,118,450
7,2280,1982,1010.0000000000002,30.52,118,450
8,3423,2962,1508.0999999999997,32.989999999999995,118,450
9,3405,2997,1599.8999999999999,31.830000000000002,118,450
10,3024,2701,1474.7,30.070000000000007,118,450
11,3496,3101,1569.1000000000001,29.870000000000008,118,450
12,3707,3224,1641.7,30.91,118,450
13,3572,3109,1582.5,30.44,118,450
14,3574,3087,1559.1000000000001,30.790000000000003,118,450
15,3731,3155,1622.9,32.47000000000001,118,450
16,4201,3521,1792.7,32.580000000000005,118,450
17,5070,4218,2178.7999999999997,32.830000000000005,118,450
18,5693,4874,2420.4,30.360000000000003,118,450
19,5687,4959,2324.3999999999996,28.790000000000003,118,450
20,5196,4471,1993.1,29.79000000000001,118,450
21,4925,4201,1812.6999999999998,30.110000000000007,118,450
22,4507,3731,1653.8,31.210000000000008,118,450
23,3664,2945,1353.7999999999997,31.08,118,450
